,TEAM,HHI_PCS,HHI_PS,HHI_TS
0,Atlanta Hawks,0.03673482942345801,0.029145453277760004,0.010612074200623194
1,Boston Celtics,0.03496721736935408,0.02992498633069542,0.013267766881248214
2,Brooklyn Nets,0.047231410151796153,0.036102016185620395,0.01167153628905305
3,Charlotte Hornets,0.028257691218073373,0.024542905227278335,0.013293562327448608
4,Chicago Bulls,0.03790102693190867,0.03345090568398972,0.01026109579844544
5,Cleveland Cavaliers,0.025619356272701097,0.020310194193426542,0.010288079512487548
6,Dallas Mavericks,0.0406142561120083,0.03416301720077373,0.013083299778414603
7,Denver Nuggets,0.03697861403379329,0.026363464900951067,0.009433679858503522
8,Detroit Pistons,0.0377060316795155,0.02764843033650832,0.011074984805984126
9,Golden State Warriors,0.04116173357830248,0.027574778301443417,0.009247609409882517
10,Houston Rockets,0.03225029586551274,0.023926658396310006,0.011711379301043842
11,Indiana Pacers,0.02918305994320061,0.02259499837179325,0.012282493485308531
12,Los Angeles Clippers,0.034391387527781044,0.02551607413290941,0.01165592168412107
13,Los Angeles Lakers,0.03600053982647998,0.026279628586865084,0.009459512770331307
14,Memphis Grizzlies,0.045979196760916545,0.03197148676204129,0.012464967024124389
15,Miami Heat,0.02681177033819049,0.020826284460096083,0.009633117440787993
16,Milwaukee Bucks,0.03491760099069646,0.030391977570607392,0.013074683469959202
17,Minnesota Timberwolves,0.039858295110238286,0.03175044405034384,0.012598396181027049
18,New Orleans Pelicans,0.03460415931616891,0.027351730529882757,0.010275739097552713
19,New York Knicks,0.040339321833695804,0.032486915979153715,0.011632891005261646
20,Oklahoma City Thunder,0.03221926809525251,0.022476044237953883,0.01557647265515624
21,Orlando Magic,0.025663304324915644,0.019267128038085665,0.008994817106737158
22,Philadelphia 76ers,0.030953187874180384,0.02940927113159248,0.012468675089417725
23,Phoenix Suns,0.03513312234705203,0.02677574929158491,0.011158665437191202
24,Portland Trail Blazers,0.03476089477507923,0.029346391798734554,0.012026363156200617
25,Sacramento Kings,0.03211540756403677,0.022111364100494392,0.009870267176522673
26,San Antonio Spurs,0.02564457348066735,0.018521389956022045,0.010381700823913155
27,Toronto Raptors,0.027451464402668865,0.024303147266994028,0.014029797382715644
28,Utah Jazz,0.031641582312683054,0.024751204496630756,0.01127551423758424
29,Washington Wizards,0.031181540561326812,0.022455104890645148,0.010370077699532432
