,TEAM,HHI_PCS,HHI_PS,HHI_TS
0,Atlanta Hawks,0.04414082785309227,0.036760858762191845,0.016992949753422148
1,Boston Celtics,0.037327807740224025,0.030445491367193264,0.012205225349261046
2,Brooklyn Nets,0.03645235448916061,0.027232165084535864,0.0037715465476242335
3,Chicago Bulls,0.035956101794883635,0.03107990361450383,0.014501715098652399
4,Dallas Mavericks,0.03772712966598942,0.0356096334298334,0.01613720255922689
5,Denver Nuggets,0.03369275222735776,0.0283984382789508,0.011870642603962273
6,Golden State Warriors,0.03497599156928386,0.028536740478139193,0.015851637820403133
7,Memphis Grizzlies,0.059125752866163506,0.03708835721410373,0.01594834196905971
8,Miami Heat,0.05416568187164203,0.038959086140794436,0.014810618932088572
9,Milwaukee Bucks,0.053429840883134336,0.040652459746549574,0.011671136606215611
10,Minnesota Timberwolves,0.026383184666932836,0.02226672134157399,0.013444535727507157
11,New Orleans Pelicans,0.03308268005577065,0.021435974361884085,0.005065245045366915
12,Philadelphia 76ers,0.02863844420224453,0.020340828576481607,0.014225657703048896
13,Phoenix Suns,0.035840097375305136,0.027071073757620797,0.010499625607923035
14,Toronto Raptors,0.025109915819876087,0.025951753555031223,0.01059183659009356
15,Utah Jazz,0.03208877982415333,0.028507204928742463,0.011658176925123371
