,mean,median,std,skew,kurtosis
HHI_TS,0.11513237412562131,0.11578748070987649,0.012315233427234977,-0.06144384859181334,0.8965921264109791
HHI_PS,0.1560416109944215,0.1529485472629023,0.028721368353732114,0.868943669119327,1.7041874143866083
HHI_PCS,0.18735581614341323,0.1838156967889625,0.03707258627278819,0.7312163792548905,1.1752213090191215
