TEAM,HHI_PCS,HHI_PS,HHI_TS
Atlanta Hawks,0.19260818067441812,0.15966055259081224,0.11514811094605723
Boston Celtics,0.20254828133194472,0.16805771608763526,0.11920991481830549
Brooklyn Nets,0.21503065815995503,0.17124707268011644,0.11673831993429894
Charlotte Hornets,0.1849720732764376,0.15768895388664186,0.12069918613205342
Chicago Bulls,0.20986872290028288,0.17563950480043064,0.12204560536348684
Cleveland Cavaliers,0.17976883484404693,0.15471723590714065,0.119406533138415
Dallas Mavericks,0.19851223295193476,0.1628847880759769,0.11524570501461769
Denver Nuggets,0.18439020640069384,0.15106030185539315,0.1108357842221144
Detroit Pistons,0.1788712476080497,0.14808979281121679,0.11214722784322868
Golden State Warriors,0.19915972645471408,0.15881695252127684,0.10871124890818884
Houston Rockets,0.16417955277959376,0.13932537745665766,0.11055300410853541
Indiana Pacers,0.17315815547461927,0.14659694913506402,0.11745747183738821
Los Angeles Clippers,0.17404605341788817,0.14596893239292913,0.11221622874839415
Los Angeles Lakers,0.21073091461465926,0.17077409336778718,0.11529023566005461
Memphis Grizzlies,0.18194340801820222,0.15059458193719583,0.10480199917866752
Miami Heat,0.18533674273593942,0.158042404084724,0.1185945662061649
Milwaukee Bucks,0.1938366714338969,0.16659809528518307,0.11384491351663331
Minnesota Timberwolves,0.19070844977220924,0.15440789348988634,0.1112528983216466
New Orleans Pelicans,0.18312370732538477,0.15150248133340388,0.11280267340826516
New York Knicks,0.1971422019742264,0.16366984031018733,0.11824789928424373
Oklahoma City Thunder,0.18725398082712597,0.15014562948486818,0.1134712036606645
Orlando Magic,0.16162408175915213,0.14073139206181604,0.11220236308263529
Philadelphia 76ers,0.20420160221027495,0.17361969472118144,0.12105891265042451
Phoenix Suns,0.18022121683331513,0.15106500848208063,0.11604312704033021
Portland Trail Blazers,0.18778614938925045,0.15656117506064587,0.11590588474109755
Sacramento Kings,0.18151868660575363,0.1506816565427042,0.1178321941845057
San Antonio Spurs,0.16706679902763594,0.14069244954322407,0.11039279134243955
Toronto Raptors,0.19970685048558534,0.16571251286026303,0.12660758079129814
Utah Jazz,0.17784053301293315,0.15331893665378032,0.11438882301508384
Washington Wizards,0.17351856200227278,0.14337635441241645,0.11081881666939511
