,TEAM,W_PCT,GAMES_WON,GAMES_LOST
0,Atlanta Hawks,,,
1,Boston Celtics,,,
2,Brooklyn Nets,,,
3,Chicago Bulls,,,
4,Dallas Mavericks,,,
5,Denver Nuggets,,,
6,Golden State Warriors,,,
7,Memphis Grizzlies,,,
8,Miami Heat,,,
9,Milwaukee Bucks,,,
10,Minnesota Timberwolves,,,
11,New Orleans Pelicans,,,
12,Philadelphia 76ers,,,
13,Phoenix Suns,,,
14,Toronto Raptors,,,
15,Utah Jazz,,,
