,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GAMEID,MIN,SEC,TT,TTSHARE,PTSSHARE,PPM,PPM_ZSCORE,EPTS,EPTS_ZSCORE,EPTS_DIFF,PTSCAP,PTSCAP_SHARE
6,Joe Ingles,20:24,1,7,.143,1,5,.200,0,0,,0,1,1,4,1,0,1,3,3,-5,202303270DETMIL,20,24,20.4,0.08499999999999998,0.023809523809523808,0.14705882352941177,-0.67360045607301,10.709999999999997,0.23902064658488245,7.709999999999997,61.199999999999996,0.015910085486379805
7,Pat Connaughton,18:04,3,8,.375,1,6,.167,0,0,,2,3,5,0,0,0,0,2,7,-9,202303270DETMIL,18,4,18.066666666666666,0.07527777777777776,0.05555555555555555,0.3874538745387454,-0.22873416471906305,9.484999999999998,0.06779240561033212,2.4849999999999977,126.46666666666667,0.032877377088956966
8,Wesley Matthews,15:42,1,3,.333,0,2,.000,2,2,1.000,0,2,2,1,2,1,0,2,4,+8,202303270DETMIL,15,42,15.7,0.06541666666666665,0.031746031746031744,0.25477707006369427,-0.47426100775385205,8.242499999999998,-0.1058819530924261,4.242499999999998,62.8,0.01632603543373614
9,Jae Crowder,12:05,1,2,.500,0,1,.000,0,0,,1,2,3,1,0,0,1,1,2,-1,202303270DETMIL,12,5,12.083333333333334,0.05034722222222222,0.015873015873015872,0.16551724137931034,-0.6394419829319509,6.343749999999999,-0.37128572660297904,4.343749999999999,24.166666666666668,0.006282577329861308
10,Goran Dragić,8:54,0,2,.000,0,1,.000,0,0,,0,0,0,3,0,0,0,2,0,+1,202303270DETMIL,8,54,8.9,0.03708333333333333,0.0,0.0,-0.9457421376913387,4.672499999999999,-0.6048899696468298,4.672499999999999,0.0,0.0
11,Thanasis Antetokounmpo,1:03,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-3,202303270DETMIL,1,3,1.05,0.0043749999999999995,0.015873015873015872,1.9047619047619047,2.579140595650823,0.5512499999999999,-1.1809506946397816,-1.44875,2.1,0.0005459343059051895
12,Lindell Wigginton,1:03,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-3,202303270DETMIL,1,3,1.05,0.0043749999999999995,0.0,0.0,-0.9457421376913387,0.5512499999999999,-1.1809506946397816,0.5512499999999999,0.0,0.0
13,MarJon Beauchamp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202303270DETMIL,0,0,0.0,0.0,0.0,,,0.0,-1.2580034030783291,0.0,0.0,0.0
14,A.J. Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202303270DETMIL,0,0,0.0,0.0,0.0,,,0.0,-1.2580034030783291,0.0,0.0,0.0
0,Jrue Holiday,32:28,20,30,.667,3,6,.500,8,10,.800,5,3,8,8,1,1,6,3,51,+26,202303290INDMIL,32,28,32.46666666666667,0.13527777777777783,0.3422818791946309,1.570841889117043,2.256543672062458,20.1563888888889,1.1525211142995857,-30.8436111111111,1655.8000000000002,0.3747779014278439
