,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GAMEID,MIN,SEC,TT,TTSHARE,PTSSHARE,PPM,PPM_ZSCORE,EPTS,EPTS_ZSCORE,EPTS_DIFF,PTSCAP,PTSCAP_SHARE
0,Giannis Antetokounmpo,37:50,14,23,.609,1,1,1.000,14,21,.667,3,17,20,5,1,2,5,3,43,+9,202212300MILMIL,37,50,37.833333333333336,0.15767173716746544,0.34959349593495936,1.1365638766519823,2.1789698664522104,19.39362367159825,1.5106689398076347,-23.60637632840175,1626.8333333333335,0.4322890371039602
1,Jevon Carter,32:13,3,6,.500,2,4,.500,2,2,1.000,0,8,8,5,0,1,3,3,10,+2,202212300MILMIL,32,13,32.21666666666667,0.13426408279502675,0.08130081300813008,0.3103983445421624,-0.3497386140321403,16.51448218378829,1.1006513330647008,6.514482183788289,322.1666666666667,0.08560748988033552
2,Brook Lopez,26:22,5,11,.455,0,3,.000,3,4,.750,2,4,6,0,0,4,3,6,13,+6,202212300MILMIL,26,22,26.366666666666667,0.10988400361186358,0.10569105691056911,0.49304677623261695,0.20930750954957383,13.515732444259221,0.6736003539348203,0.5157324442592213,342.76666666666665,0.09108140904702432
3,Grayson Allen,25:27,2,6,.333,2,4,.500,1,2,.500,1,3,4,1,0,0,2,1,7,+1,202212300MILMIL,25,27,25.45,0.1060637632840175,0.056910569105691054,0.275049115913556,-0.4579347209109433,13.045842883934151,0.6066835338432431,6.045842883934151,178.15,0.0473387718226025
4,Pat Connaughton,21:36,1,7,.143,0,6,.000,0,0,,0,4,4,1,1,0,1,1,2,0,202212300MILMIL,21,36,21.6,0.09001875390706397,0.016260162601626018,0.09259259259259259,-1.016393455764192,11.072306730568869,0.32563288945862107,9.072306730568869,43.2,0.011479286796162943
6,Bobby Portis,30:54,9,17,.529,3,5,.600,1,1,1.000,8,6,14,1,1,0,1,1,22,+7,202212300MILMIL,30,54,30.9,0.12877682850593872,0.17886178861788618,0.7119741100323624,0.8793952632415976,15.839549906230463,1.0045344460240722,-6.160450093769537,679.8,0.18063933250073072
7,Joe Ingles,24:29,5,9,.556,4,7,.571,0,0,,3,2,5,10,0,0,4,3,14,+10,202212300MILMIL,24,29,24.483333333333334,0.10203514621101618,0.11382113821138211,0.5718175629680055,0.45040732392154836,12.55032298395499,0.5361167053830351,-1.44967701604501,342.76666666666665,0.09108140904702432
8,A.J. Green,21:51,2,6,.333,2,5,.400,1,1,1.000,1,2,3,1,1,0,0,4,7,+9,202212300MILMIL,21,51,21.85,0.09106063763284017,0.056910569105691054,0.3203661327231121,-0.3192294369662922,11.20045842883934,0.34388293130177816,4.20045842883934,152.95000000000002,0.04064252119150746
9,MarJon Beauchamp,14:56,2,6,.333,0,3,.000,1,2,.500,1,1,2,1,1,0,1,3,5,+4,202212300MILMIL,14,56,14.933333333333334,0.062235187886365215,0.04065040650406504,0.33482142857142855,-0.2749849995274653,7.654928110022921,-0.16103489302557353,2.6549281100229214,74.66666666666667,0.019840742610652
10,Sandro Mamukelashvili,4:19,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,1,1,0,0,-3,202212300MILMIL,4,19,4.316666666666666,0.01798985899840244,0.0,0.0,-1.2997987359638963,2.2127526568035005,-0.9360533366316535,2.2127526568035005,0.0,0.0
11,Thanasis Antetokounmpo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202212300MILMIL,0,0,0.0,0.0,0.0,,,0.0,-1.2511707257901694,0.0,0.0,0.0
12,Serge Ibaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202212300MILMIL,0,0,0.0,0.0,0.0,,,0.0,-1.2511707257901694,0.0,0.0,0.0
13,Wesley Matthews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202212300MILMIL,0,0,0.0,0.0,0.0,,,0.0,-1.2511707257901694,0.0,0.0,0.0
14,Jordan Nwora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202212300MILMIL,0,0,0.0,0.0,0.0,,,0.0,-1.2511707257901694,0.0,0.0,0.0
0,Jevon Carter,30:58,6,15,.400,2,6,.333,0,0,,0,3,3,3,1,1,1,1,14,-17,202301010MILMIL,30,58,30.966666666666665,0.12902777777777777,0.14736842105263157,0.4520990312163617,0.38519547303884677,12.257638888888888,1.2034031514028014,-1.7423611111111121,433.5333333333333,0.1801634575425959
1,Bobby Portis,30:06,6,16,.375,1,2,.500,6,6,1.000,5,5,10,2,1,0,1,1,19,-11,202301010MILMIL,30,6,30.1,0.12541666666666668,0.2,0.6312292358803986,1.1625780480957697,11.914583333333335,1.120001415668919,-7.085416666666665,571.9,0.23766449646765478
2,Pat Connaughton,29:26,4,9,.444,2,6,.333,0,0,,0,3,3,0,2,0,1,1,10,-6,202301010MILMIL,29,26,29.433333333333334,0.1226388888888889,0.10526315789473684,0.33975084937712347,-0.10236897241553146,11.650694444444445,1.055846234335163,1.6506944444444454,294.3333333333333,0.12231611026457957
3,Grayson Allen,26:12,4,11,.364,3,9,.333,2,2,1.000,0,5,5,8,1,0,2,1,13,-10,202301010MILMIL,26,12,26.2,0.10916666666666666,0.1368421052631579,0.4961832061068702,0.5765103295138784,10.370833333333334,0.7446936048664456,-2.6291666666666664,340.59999999999997,0.14154315002077847
4,Brook Lopez,23:30,3,10,.300,1,3,.333,1,1,1.000,4,6,10,0,1,1,2,2,8,-21,202301010MILMIL,23,30,23.5,0.09791666666666667,0.08421052631578947,0.3404255319148936,-0.09944101032481995,9.302083333333334,0.48486512046473357,1.302083333333334,188.0,0.07812716442720598
6,MarJon Beauchamp,25:00,4,12,.333,2,9,.222,1,2,.500,3,1,4,0,1,0,2,2,11,-14,202301010MILMIL,25,0,25.0,0.10416666666666667,0.11578947368421053,0.44,0.33268854903733774,9.895833333333334,0.6292142784656848,-1.104166666666666,275.0,0.1142817564759662
7,A.J. Green,19:15,4,7,.571,2,5,.400,0,0,,0,3,3,0,1,0,1,1,10,-9,202301010MILMIL,19,15,19.25,0.08020833333333334,0.10526315789473684,0.5194805194805194,0.6776151403763625,7.619791666666667,0.07587583946203837,-2.380208333333333,192.5,0.07999722953317634
8,Joe Ingles,17:19,0,4,.000,0,4,.000,0,0,,0,0,0,6,1,0,2,2,0,-5,202301010MILMIL,17,19,17.316666666666666,0.07215277777777777,0.0,0.0,-1.5768070252381794,6.854513888888889,-0.11017418640585447,6.854513888888889,0.0,0.0
9,Serge Ibaka,15:37,2,7,.286,0,3,.000,0,0,,2,0,2,0,2,1,3,3,4,-8,202301010MILMIL,15,37,15.616666666666667,0.06506944444444444,0.042105263157894736,0.256136606189968,-0.46523494357978196,6.181597222222222,-0.2737698988069325,2.181597222222222,62.46666666666667,0.0259592741376922
10,Sandro Mamukelashvili,13:04,0,3,.000,0,2,.000,2,2,1.000,0,4,4,3,0,0,0,1,2,-10,202301010MILMIL,13,4,13.066666666666666,0.05444444444444444,0.021052631578947368,0.15306122448979592,-0.9125576371553232,5.172222222222222,-0.5191634674085497,3.1722222222222216,26.133333333333333,0.010860229948746363
11,Jordan Nwora,5:28,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,4,-3,202301010MILMIL,5,28,5.466666666666667,0.02277777777777778,0.042105263157894736,0.7317073170731707,1.5986290738896207,2.163888888888889,-1.2505325346133689,-1.8361111111111108,21.866666666666667,0.0090871311816041
