,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GAMEID,MIN,SEC,TT,TTSHARE,PTSSHARE,PPM,PPM_ZSCORE,EPTS,EPTS_ZSCORE,EPTS_DIFF,PTSCAP,PTSCAP_SHARE
4,MarJon Beauchamp,14:35,0,3,.000,0,1,.000,0,0,,0,2,2,1,0,0,1,1,0,-4,202211180PHIMIL,14,35,14.583333333333334,0.06076388888888889,0.0,0.0,-1.84989640466501,6.197916666666667,-0.29106987297533776,6.197916666666667,0.0,0.0
6,Grayson Allen,26:36,3,6,.500,1,3,.333,0,0,,2,2,4,1,1,1,1,1,7,0,202211180PHIMIL,26,36,26.6,0.11083333333333334,0.06862745098039216,0.2631578947368421,-0.5823972844658163,11.305,0.610813736742957,4.305,186.20000000000002,0.062021873091656035
7,Jordan Nwora,24:40,3,6,.500,2,3,.667,0,0,,0,2,2,2,0,1,0,1,8,+8,202211180PHIMIL,24,40,24.666666666666668,0.10277777777777779,0.0784313725490196,0.3243243243243243,-0.2877893808519497,10.483333333333334,0.46571179676054086,2.4833333333333343,197.33333333333334,0.06573030589019042
8,Jrue Holiday,23:12,5,12,.417,0,4,.000,0,0,,1,2,3,4,1,0,5,2,10,-9,202211180PHIMIL,23,12,23.2,0.09666666666666666,0.09803921568627451,0.4310344827586207,0.226179740488842,9.86,0.35563446298077644,-0.14000000000000057,232.0,0.07727752178981846
9,George Hill,13:53,2,5,.400,2,4,.500,1,2,.500,0,0,0,2,1,0,0,1,7,-1,202211180PHIMIL,13,53,13.883333333333333,0.057847222222222223,0.06862745098039216,0.5042016806722689,0.5785893046242016,5.900416666666667,-0.3436067822793162,-1.0995833333333334,97.18333333333334,0.03237106534169767
10,Serge Ibaka,7:15,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-4,202211180PHIMIL,7,15,7.25,0.030208333333333334,0.0196078431372549,0.27586206896551724,-0.5212076717665448,3.08125,-0.8414565418741586,1.0812499999999998,14.5,0.004829845111863654
11,Thanasis Antetokounmpo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202211180PHIMIL,0,0,0.0,0.0,0.0,,,0.0,-1.38558881680822,0.0,0.0,0.0
12,A.J. Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202211180PHIMIL,0,0,0.0,0.0,0.0,,,0.0,-1.38558881680822,0.0,0.0,0.0
13,Sandro Mamukelashvili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202211180PHIMIL,0,0,0.0,0.0,0.0,,,0.0,-1.38558881680822,0.0,0.0,0.0
0,Giannis Antetokounmpo,35:05,16,24,.667,0,1,.000,5,12,.417,2,5,7,6,2,0,1,3,37,+19,202211210MILMIL,35,5,35.083333333333336,0.1462008612307265,0.31092436974789917,1.0546318289786223,1.4336481103771754,17.397902486456456,1.4161759434148558,-19.602097513543544,1298.0833333333335,0.38117447841471347
1,Grayson Allen,31:48,5,8,.625,2,5,.400,5,5,1.000,2,6,8,2,0,0,0,2,17,+9,202211210MILMIL,31,48,31.8,0.1325184053340742,0.14285714285714285,0.5345911949685535,0.1992893740699115,15.76969023475483,1.157032282856325,-1.2303097652451704,540.6,0.15874398641406748
