,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GAMEID,MIN,SEC,TT,TTSHARE,PTSSHARE,PPM,PPM_ZSCORE,EPTS,EPTS_ZSCORE,EPTS_DIFF,PTSCAP,PTSCAP_SHARE
0,Giannis Antetokounmpo,36:26,21,39,.538,2,8,.250,10,15,.667,4,15,19,2,0,0,3,2,54,+10,202302020MILMIL,36,26,36.43333333333333,0.15180555555555553,0.5094339622641509,1.482159194876487,2.4607991946309906,16.091388888888886,1.374243943252058,-37.908611111111114,1967.3999999999999,0.5881995345986536
1,Jrue Holiday,34:13,4,15,.267,2,6,.333,2,2,1.000,0,4,4,8,0,0,3,4,12,-11,202302020MILMIL,34,13,34.21666666666667,0.14256944444444444,0.11320754716981132,0.35070628348757915,-0.007011885574784289,15.112361111111111,1.2163297108196136,3.1123611111111114,410.6,0.12275832515309912
2,Pat Connaughton,31:49,3,5,.600,1,3,.333,1,1,1.000,1,9,10,0,1,0,1,0,8,-1,202302020MILMIL,31,49,31.816666666666666,0.13256944444444443,0.07547169811320754,0.25144054478784705,-0.22352031237913075,14.05236111111111,1.0453549027724556,6.052361111111111,254.53333333333333,0.07609860130451898
3,Grayson Allen,24:01,1,3,.333,1,3,.333,1,2,.500,0,2,2,0,0,0,0,4,4,-4,202302020MILMIL,24,1,24.016666666666666,0.10006944444444443,0.03773584905660377,0.16655100624566274,-0.40867282000827976,10.60736111111111,0.48968677661919174,6.607361111111111,96.06666666666666,0.028721342189578798
4,Brook Lopez,23:22,3,5,.600,0,2,.000,0,0,,2,3,5,0,0,0,1,2,6,-32,202302020MILMIL,23,22,23.366666666666667,0.0973611111111111,0.05660377358490566,0.25677603423680456,-0.211883080420184,10.320277777777777,0.4433810994397531,4.320277777777777,140.2,0.041916018476533104
6,Joe Ingles,27:16,1,3,.333,1,3,.333,0,0,,0,2,2,3,0,0,1,1,3,+5,202302020MILMIL,27,16,27.266666666666666,0.1136111111111111,0.02830188679245283,0.11002444987775062,-0.5319628488963325,12.042777777777776,0.7212151625163847,9.042777777777776,81.8,0.024455993661771813
7,Wesley Matthews,24:49,0,4,.000,0,4,.000,3,4,.750,0,1,1,0,1,0,0,0,3,+8,202302020MILMIL,24,49,24.816666666666666,0.10340277777777776,0.02830188679245283,0.12088650100738751,-0.5082716374798762,10.960694444444442,0.5466783793015775,7.960694444444442,74.45,0.022258541908544153
8,Khris Middleton,19:59,6,14,.429,2,6,.333,2,3,.667,1,6,7,2,0,0,1,2,16,+1,202302020MILMIL,19,59,19.983333333333334,0.08326388888888889,0.1509433962264151,0.8006672226855712,0.9743975749828933,8.825972222222221,0.20235411309549547,-7.174027777777779,319.73333333333335,0.09559164270730043
9,Jevon Carter,16:48,0,2,.000,0,2,.000,0,0,,0,3,3,1,0,0,0,2,0,+23,202302020MILMIL,16,48,16.8,0.06999999999999999,0.0,0.0,-0.7719370924276482,7.419999999999999,-0.024424972578165553,7.419999999999999,0.0,0.0
10,George Hill,1:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+6,202302020MILMIL,1,17,1.2833333333333332,0.005347222222222221,0.0,0.0,-0.7719370924276482,0.5668055555555555,-1.1298245996052776,0.5668055555555555,0.0,0.0
11,Thanasis Antetokounmpo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202302020MILMIL,0,0,0.0,0.0,0.0,,,0.0,-1.2212486289082718,0.0,0.0,0.0
12,MarJon Beauchamp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202302020MILMIL,0,0,0.0,0.0,0.0,,,0.0,-1.2212486289082718,0.0,0.0,0.0
13,Sandro Mamukelashvili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202302020MILMIL,0,0,0.0,0.0,0.0,,,0.0,-1.2212486289082718,0.0,0.0,0.0
14,Jordan Nwora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202302020MILMIL,0,0,0.0,0.0,0.0,,,0.0,-1.2212486289082718,0.0,0.0,0.0
0,Giannis Antetokounmpo,35:58,13,19,.684,0,2,.000,9,16,.563,1,14,15,11,1,1,3,2,35,+19,202302040MILMIL,35,58,35.96666666666667,0.1498611111111111,0.2845528455284553,0.9731232622798888,1.2667018703865138,18.432916666666667,1.2705162021083094,-16.567083333333333,1258.8333333333335,0.3372552521711951
