,,0
MIL202212300MIL,MP_HHI,0.11379814880340121
MIL202212300MIL,PTS_HHI,0.19333729922665077
MIL202212300MIL,PTSCAP_HHI,0.24784287145733838
MIL202301010MIL,MP_HHI,0.0994194637345679
MIL202301010MIL,PTS_HHI,0.12709141274238228
MIL202301010MIL,PTSCAP_HHI,0.15037711334204665
MIL202301030MIL,MP_HHI,0.11084543788580248
MIL202301030MIL,PTS_HHI,0.2626082358384559
MIL202301030MIL,PTSCAP_HHI,0.3301430557521939
MIL202301040TOR,MP_HHI,0.11693861750588389
MIL202301040TOR,PTS_HHI,0.16715976331360943
MIL202301040TOR,PTSCAP_HHI,0.2027563283012985
MIL202301060MIL,MP_HHI,0.07671079282407406
MIL202301060MIL,PTS_HHI,0.09923407120612743
MIL202301060MIL,PTSCAP_HHI,0.11099674688039735
MIL202301090NYK,MP_HHI,0.1209508584104938
MIL202301090NYK,PTS_HHI,0.13740767794821848
MIL202301090NYK,PTSCAP_HHI,0.15752992299072385
MIL202301110ATL,MP_HHI,0.11373692129629628
MIL202301110ATL,PTS_HHI,0.13650353955063094
MIL202301110ATL,PTSCAP_HHI,0.16913542923264524
MIL202301120MIA,MP_HHI,0.1174092303240741
MIL202301120MIA,PTS_HHI,0.1582083813917724
MIL202301120MIA,PTSCAP_HHI,0.1687653177994482
MIL202301140MIA,MP_HHI,0.11165453317901237
MIL202301140MIA,PTS_HHI,0.12288088642659278
MIL202301140MIA,PTSCAP_HHI,0.13909301664519136
MIL202301160MIL,MP_HHI,0.11865783179012346
MIL202301160MIL,PTS_HHI,0.1548438934802571
MIL202301160MIL,PTSCAP_HHI,0.19004382864987046
MIL202301170MIL,MP_HHI,0.12050713734567901
MIL202301170MIL,PTS_HHI,0.1714792899408284
MIL202301170MIL,PTSCAP_HHI,0.19255678273421026
MIL202301210CLE,MP_HHI,0.12110108024691357
MIL202301210CLE,PTS_HHI,0.1733948481353326
MIL202301210CLE,PTSCAP_HHI,0.2016626107016223
MIL202301230DET,MP_HHI,0.08817940779320987
MIL202301230DET,PTS_HHI,0.11146666666666666
MIL202301230DET,PTSCAP_HHI,0.13894316405813048
MIL202301250MIL,MP_HHI,0.11879145447530863
MIL202301250MIL,PTS_HHI,0.18193728709930995
MIL202301250MIL,PTSCAP_HHI,0.21555886863796114
MIL202301270IND,MP_HHI,0.11331288580246915
MIL202301270IND,PTS_HHI,0.15839243498817965
MIL202301270IND,PTSCAP_HHI,0.19705255142973022
MIL202301290MIL,MP_HHI,0.10325965470679017
MIL202301290MIL,PTS_HHI,0.1868312757201646
MIL202301290MIL,PTSCAP_HHI,0.23275756163592382
MIL202301310MIL,MP_HHI,0.11437416087962966
MIL202301310MIL,PTS_HHI,0.1450312174817898
MIL202301310MIL,PTSCAP_HHI,0.1869543014306788
