,,0
MIL202210200PHI,MP_HHI,0.11578225308641972
MIL202210200PHI,PTS_HHI,0.14469135802469135
MIL202210200PHI,PTSCAP_HHI,0.17409504610694668
MIL202210220MIL,MP_HHI,0.10069325810185188
MIL202210220MIL,PTS_HHI,0.18656
MIL202210220MIL,PTSCAP_HHI,0.2142163148960484
MIL202210260MIL,MP_HHI,0.11924261188271604
MIL202210260MIL,PTS_HHI,0.2209917355371901
MIL202210260MIL,PTSCAP_HHI,0.274184984330779
MIL202210280MIL,MP_HHI,0.1238951678240741
MIL202210280MIL,PTS_HHI,0.15062495586469882
MIL202210280MIL,PTSCAP_HHI,0.1778618975126773
MIL202210290MIL,MP_HHI,0.10743499228395063
MIL202210290MIL,PTS_HHI,0.1983607640954458
MIL202210290MIL,PTSCAP_HHI,0.25051854708092225
MIL202210310MIL,MP_HHI,0.11030265239197531
MIL202210310MIL,PTS_HHI,0.20545454545454545
MIL202210310MIL,PTSCAP_HHI,0.22914350595305827
MIL202211020MIL,MP_HHI,0.09673866211771952
MIL202211020MIL,PTS_HHI,0.16215814506539833
MIL202211020MIL,PTSCAP_HHI,0.19735555382786638
MIL202211040MIN,MP_HHI,0.11232667824074075
MIL202211040MIN,PTS_HHI,0.16899810964083176
MIL202211040MIN,PTSCAP_HHI,0.1974689008778841
MIL202211050MIL,MP_HHI,0.1032468382707339
MIL202211050MIL,PTS_HHI,0.15174897119341563
MIL202211050MIL,PTSCAP_HHI,0.1516367449310945
MIL202211070ATL,MP_HHI,0.09325570023148147
MIL202211070ATL,PTS_HHI,0.1395251978342357
MIL202211070ATL,PTSCAP_HHI,0.17132709942740085
MIL202211090OKC,MP_HHI,0.11863230960517754
MIL202211090OKC,PTS_HHI,0.1587370242214533
MIL202211090OKC,PTSCAP_HHI,0.1926498150237212
MIL202211110SAS,MP_HHI,0.11581029128086417
MIL202211110SAS,PTS_HHI,0.15550930743438549
MIL202211110SAS,PTSCAP_HHI,0.17291702014897672
MIL202211140MIL,MP_HHI,0.11129171489197524
MIL202211140MIL,PTS_HHI,0.15574937700249197
MIL202211140MIL,PTSCAP_HHI,0.18308570297550517
MIL202211160MIL,MP_HHI,0.10946071566358026
MIL202211160MIL,PTS_HHI,0.15091236588613047
MIL202211160MIL,PTSCAP_HHI,0.1761376960062441
MIL202211180PHI,MP_HHI,0.11390809220679013
MIL202211180PHI,PTS_HHI,0.15436370626682044
MIL202211180PHI,PTSCAP_HHI,0.18636888230475393
MIL202211210MIL,MP_HHI,0.10766874657179566
MIL202211210MIL,PTS_HHI,0.17138620153943926
MIL202211210MIL,PTSCAP_HHI,0.2174487783954536
MIL202211230MIL,MP_HHI,0.11502533757716048
MIL202211230MIL,PTS_HHI,0.17941890516093661
MIL202211230MIL,PTSCAP_HHI,0.21174470979075347
