,,0
MIL202303140PHO,MP_HHI,0.1163164224569243
MIL202303140PHO,PTS_HHI,0.17152199762187875
MIL202303140PHO,PTSCAP_HHI,0.20796420966755863
MIL202303160MIL,MP_HHI,0.11049475308641973
MIL202303160MIL,PTS_HHI,0.13027959547888163
MIL202303160MIL,PTSCAP_HHI,0.14797430896955166
MIL202303190MIL,MP_HHI,0.11627638888888889
MIL202303190MIL,PTS_HHI,0.14808962941683423
MIL202303190MIL,PTSCAP_HHI,0.1704137887373198
MIL202303220MIL,MP_HHI,0.0948056423611111
MIL202303220MIL,PTS_HHI,0.13112426035502958
MIL202303220MIL,PTSCAP_HHI,0.14956689514205168
MIL202303240UTA,MP_HHI,0.09248509837962961
MIL202303240UTA,PTS_HHI,0.12442129629629632
MIL202303240UTA,PTSCAP_HHI,0.1428171004999579
MIL202303250DEN,MP_HHI,0.0998518838464646
MIL202303250DEN,PTS_HHI,0.15414738341046633
MIL202303250DEN,PTSCAP_HHI,0.2023723235181765
MIL202303270DET,MP_HHI,0.11333914930555553
MIL202303270DET,PTS_HHI,0.17561098513479464
MIL202303270DET,PTSCAP_HHI,0.20423629703303875
MIL202303290IND,MP_HHI,0.10768653549382723
MIL202303290IND,PTS_HHI,0.21769289671636413
MIL202303290IND,PTSCAP_HHI,0.24833358355074253
MIL202303300MIL,MP_HHI,0.07842086226851855
MIL202303300MIL,PTS_HHI,0.1258034894398531
MIL202303300MIL,PTSCAP_HHI,0.15944635157306758
