,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GAMEID,MIN,SEC,TT,TTSHARE,PTSSHARE,PPM,PPM_ZSCORE,EPTS,EPTS_ZSCORE,EPTS_DIFF,PTSCAP,PTSCAP_SHARE
0,Giannis Antetokounmpo,30:58,13,20,.650,2,3,.667,10,14,.714,3,6,9,6,0,2,3,3,38,+15,202211250MILMIL,30,58,30.966666666666665,0.12902777777777774,0.3247863247863248,1.2271259418729819,2.5116743543550797,15.096249999999996,1.2138005758451769,-22.903750000000002,1176.7333333333333,0.3897199253723105
1,Grayson Allen,28:15,2,8,.250,1,6,.167,3,3,1.000,0,5,5,5,2,0,1,0,8,+9,202211250MILMIL,28,15,28.25,0.1177083333333333,0.06837606837606838,0.2831858407079646,-0.37511360528102344,13.771874999999996,0.9501094316770479,5.771874999999996,226.0,0.0748484815031518
2,Brook Lopez,27:32,3,3,1.000,2,2,1.000,0,0,,0,4,4,0,0,6,0,0,8,+20,202211250MILMIL,27,32,27.533333333333335,0.1147222222222222,0.06837606837606838,0.29055690072639223,-0.35257119259542014,13.422499999999998,0.8805467372032473,5.422499999999998,220.26666666666668,0.0729496704679686
3,Jevon Carter,24:32,6,9,.667,5,6,.833,1,1,1.000,0,3,3,2,2,0,2,4,18,+17,202211250MILMIL,24,32,24.533333333333335,0.1022222222222222,0.15384615384615385,0.733695652173913,1.0026499814473213,11.959999999999997,0.5893540626617552,-6.040000000000003,441.6,0.14625260810527363
4,Jrue Holiday,23:02,4,13,.308,1,3,.333,0,0,,2,1,3,5,0,0,1,4,9,+13,202211250MILMIL,23,2,23.033333333333335,0.09597222222222221,0.07692307692307693,0.3907380607814761,-0.046193948666002654,11.228749999999998,0.4437577253910092,2.228749999999998,207.3,0.06865526644072288
6,Bobby Portis,25:26,6,10,.600,2,3,.667,0,0,,1,7,8,4,0,1,3,1,14,+4,202211250MILMIL,25,26,25.433333333333334,0.1059722222222222,0.11965811965811966,0.5504587155963303,0.44226889199056835,12.398749999999998,0.6767118650242029,-1.601250000000002,356.06666666666666,0.11792499696411025
7,Jordan Nwora,24:22,2,8,.250,0,2,.000,3,3,1.000,1,4,5,2,0,0,1,3,7,-7,202211250MILMIL,24,22,24.366666666666667,0.10152777777777776,0.05982905982905983,0.28727770177838574,-0.36259974422562746,11.878749999999998,0.5731766918538946,4.878749999999998,170.56666666666666,0.05648962829670026
8,George Hill,20:02,2,5,.400,1,3,.333,0,2,.000,0,2,2,2,0,0,1,2,5,+4,202211250MILMIL,20,2,20.033333333333335,0.08347222222222221,0.042735042735042736,0.24958402662229615,-0.4778757532231639,9.76625,0.15256505084951738,4.766249999999999,100.16666666666667,0.03317399512049722
9,Wesley Matthews,17:16,2,4,.500,1,3,.333,0,0,,1,0,1,1,0,0,0,2,5,+25,202211250MILMIL,17,16,17.266666666666666,0.07194444444444442,0.042735042735042736,0.2895752895752896,-0.35557318737088334,8.417499999999997,-0.11597930456097028,3.417499999999997,86.33333333333333,0.02859256151816566
10,Sandro Mamukelashvili,9:26,1,2,.500,0,1,.000,1,2,.500,0,1,1,0,0,0,0,1,3,-4,202211250MILMIL,9,26,9.433333333333334,0.039305555555555545,0.02564102564102564,0.31802120141342755,-0.26857898541478786,4.598749999999999,-0.8763157325304214,1.598749999999999,28.3,0.00937261958645662
11,MarJon Beauchamp,3:03,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-7,202211250MILMIL,3,3,3.05,0.01270833333333333,0.017094017094017096,0.6557377049180328,0.7642364812490934,1.4868749999999997,-1.4959090344714852,-0.5131250000000003,6.1,0.0020202466246425927
12,Thanasis Antetokounmpo,3:03,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-7,202211250MILMIL,3,3,3.05,0.01270833333333333,0.0,0.0,-1.2411616461325763,1.4868749999999997,-1.4959090344714852,1.4868749999999997,0.0,0.0
13,A.J. Green,3:03,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-7,202211250MILMIL,3,3,3.05,0.01270833333333333,0.0,0.0,-1.2411616461325763,1.4868749999999997,-1.4959090344714852,1.4868749999999997,0.0,0.0
0,Jrue Holiday,34:27,7,16,.438,2,6,.333,0,0,,1,0,1,6,3,0,3,2,16,+17,202211270MILMIL,34,27,34.45,0.1435416666666667,0.12903225806451613,0.46444121915820025,0.41764615102185015,17.79916666666667,1.3726003625267538,1.7991666666666717,551.2,0.15383255731741918
