,GAME_ID,PLAYER_NAME,TIME,TIMESHARE,PTS_TEAM,PTSSHARE,PTSCAP,PTSCAPSHARE,GAME_DATE,MATCHUP,WL,W_PCT,PTS,HHI_TS,HHI_PS,HHI_PCS
0,22101225,Moses Moody,19.3,0.08041666666666666,5.0,0.0390625,96.5,0.028146967030616515,"APR 10, 2022",GSW @ NOP,W,0.646,128,0.10091448688271602,0.173583984375,0.20769923012668803
1,22101225,Draymond Green,24.9,0.10374999999999998,7.0,0.0546875,174.29999999999998,0.05083954770400474,"APR 10, 2022",GSW @ NOP,W,0.646,128,0.10091448688271602,0.173583984375,0.20769923012668803
2,22101225,Kevon Looney,14.983333333333333,0.062430555555555545,4.0,0.03125,59.93333333333333,0.017481259661847492,"APR 10, 2022",GSW @ NOP,W,0.646,128,0.10091448688271602,0.173583984375,0.20769923012668803
3,22101225,Klay Thompson,30.916666666666668,0.12881944444444443,41.0,0.3203125,1267.5833333333335,0.36972669732530905,"APR 10, 2022",GSW @ NOP,W,0.646,128,0.10091448688271602,0.173583984375,0.20769923012668803
4,22101225,Jordan Poole,28.266666666666666,0.11777777777777776,22.0,0.171875,621.8666666666667,0.18138508356586586,"APR 10, 2022",GSW @ NOP,W,0.646,128,0.10091448688271602,0.173583984375,0.20769923012668803
5,22101225,Damion Lee,23.616666666666667,0.09840277777777777,11.0,0.0859375,259.78333333333336,0.07577319086463206,"APR 10, 2022",GSW @ NOP,W,0.646,128,0.10091448688271602,0.173583984375,0.20769923012668803
6,22101225,Gary Payton II,17.766666666666666,0.07402777777777776,8.0,0.0625,142.13333333333333,0.04145722536046591,"APR 10, 2022",GSW @ NOP,W,0.646,128,0.10091448688271602,0.173583984375,0.20769923012668803
7,22101225,Nemanja Bjelica,22.866666666666667,0.09527777777777777,4.0,0.03125,91.46666666666667,0.026678852342663806,"APR 10, 2022",GSW @ NOP,W,0.646,128,0.10091448688271602,0.173583984375,0.20769923012668803
8,22101225,Juan Toscano-Anderson,24.333333333333332,0.10138888888888888,8.0,0.0625,194.66666666666666,0.05678006475260809,"APR 10, 2022",GSW @ NOP,W,0.646,128,0.10091448688271602,0.173583984375,0.20769923012668803
9,22101225,Jonathan Kuminga,28.9,0.12041666666666664,18.0,0.140625,520.1999999999999,0.1517311113919866,"APR 10, 2022",GSW @ NOP,W,0.646,128,0.10091448688271602,0.173583984375,0.20769923012668803
10,22101225,Quinndary Weatherspoon,4.15,0.017291666666666667,0.0,0.0,0.0,0.0,"APR 10, 2022",GSW @ NOP,W,0.646,128,0.10091448688271602,0.173583984375,0.20769923012668803
