,GAME_ID,PLAYER_NAME,TIME,TIMESHARE,PTS_TEAM,PTSSHARE,PTSCAP,PTSCAPSHARE,GAME_DATE,MATCHUP,WL,W_PCT,PTS,HHI_TS,HHI_PS,HHI_PCS
0,22201158,Donte DiVincenzo,20.433333333333334,0.08513297687660579,1.0,0.007692307692307693,20.433333333333334,0.005381347004705387,"MAR 31, 2023",GSW vs. SAS,W,0.526,130,0.1114194348420964,0.1880473372781065,0.21555515334237874
1,22201158,Jonathan Kuminga,27.216666666666665,0.11339490313172695,17.0,0.13076923076923078,462.6833333333333,0.12185283376641617,"MAR 31, 2023",GSW vs. SAS,W,0.526,130,0.1114194348420964,0.1880473372781065,0.21555515334237874
2,22201158,Draymond Green,29.466666666666665,0.12276925213526838,4.0,0.03076923076923077,117.86666666666666,0.031041505723716552,"MAR 31, 2023",GSW vs. SAS,W,0.526,130,0.1114194348420964,0.1880473372781065,0.21555515334237874
3,22201158,Klay Thompson,34.266666666666666,0.1427678633428234,31.0,0.23846153846153847,1062.2666666666667,0.27975981459372146,"MAR 31, 2023",GSW vs. SAS,W,0.526,130,0.1114194348420964,0.1880473372781065,0.21555515334237874
4,22201158,Stephen Curry,32.733333333333334,0.13637941809596554,33.0,0.25384615384615383,1080.2,0.28448275862068967,"MAR 31, 2023",GSW vs. SAS,W,0.526,130,0.1114194348420964,0.1880473372781065,0.21555515334237874
5,22201158,Jordan Poole,27.383333333333333,0.1140892993542115,27.0,0.2076923076923077,739.35,0.19471609663599973,"MAR 31, 2023",GSW vs. SAS,W,0.526,130,0.1114194348420964,0.1880473372781065,0.21555515334237874
6,22201158,Anthony Lamb,22.783333333333335,0.09492396361363795,2.0,0.015384615384615385,45.56666666666667,0.012000491607556712,"MAR 31, 2023",GSW vs. SAS,W,0.526,130,0.1114194348420964,0.1880473372781065,0.21555515334237874
7,22201158,Kevon Looney,23.566666666666666,0.09818762585931531,6.0,0.046153846153846156,141.4,0.03723927242081607,"MAR 31, 2023",GSW vs. SAS,W,0.526,130,0.1114194348420964,0.1880473372781065,0.21555515334237874
8,22201158,Gary Payton II,17.766666666666666,0.07402263731685299,7.0,0.05384615384615385,124.36666666666666,0.032753353465833274,"MAR 31, 2023",GSW vs. SAS,W,0.526,130,0.1114194348420964,0.1880473372781065,0.21555515334237874
9,22201158,Patrick Baldwin Jr.,1.4666666666666668,0.006110686757864038,0.0,0.0,0.0,0.0,"MAR 31, 2023",GSW vs. SAS,W,0.526,130,0.1114194348420964,0.1880473372781065,0.21555515334237874
10,22201158,Lester Quinones,1.4666666666666668,0.006110686757864038,0.0,0.0,0.0,0.0,"MAR 31, 2023",GSW vs. SAS,W,0.526,130,0.1114194348420964,0.1880473372781065,0.21555515334237874
11,22201158,Moses Moody,1.4666666666666668,0.006110686757864038,2.0,0.015384615384615385,2.9333333333333336,0.0007725261605449822,"MAR 31, 2023",GSW vs. SAS,W,0.526,130,0.1114194348420964,0.1880473372781065,0.21555515334237874
12,22201158,JaMychal Green,0.0,0.0,0.0,0.0,0.0,0.0,"MAR 31, 2023",GSW vs. SAS,W,0.526,130,0.1114194348420964,0.1880473372781065,0.21555515334237874
0,22201135,Donte DiVincenzo,22.866666666666667,0.09527777777777778,13.0,0.10833333333333334,297.26666666666665,0.07933634321553276,"MAR 28, 2023",GSW vs. NOP,W,0.519,120,0.1190492573302469,0.18625,0.2226513136319734
1,22201135,Jonathan Kuminga,31.216666666666665,0.13006944444444443,13.0,0.10833333333333334,405.81666666666666,0.10830683006027177,"MAR 28, 2023",GSW vs. NOP,W,0.519,120,0.1190492573302469,0.18625,0.2226513136319734
2,22201135,Draymond Green,32.916666666666664,0.13715277777777776,8.0,0.06666666666666667,263.3333333333333,0.07028000800658318,"MAR 28, 2023",GSW vs. NOP,W,0.519,120,0.1190492573302469,0.18625,0.2226513136319734
3,22201135,Klay Thompson,34.11666666666667,0.14215277777777777,17.0,0.14166666666666666,579.9833333333333,0.15478949358361319,"MAR 28, 2023",GSW vs. NOP,W,0.519,120,0.1190492573302469,0.18625,0.2226513136319734
4,22201135,Stephen Curry,36.95,0.15395833333333334,39.0,0.325,1441.0500000000002,0.3845962235615951,"MAR 28, 2023",GSW vs. NOP,W,0.519,120,0.1190492573302469,0.18625,0.2226513136319734
5,22201135,Kevon Looney,22.066666666666666,0.09194444444444444,3.0,0.025,66.2,0.017667860240642305,"MAR 28, 2023",GSW vs. NOP,W,0.519,120,0.1190492573302469,0.18625,0.2226513136319734
6,22201135,Jordan Poole,29.4,0.1225,21.0,0.175,617.4,0.16477548206302958,"MAR 28, 2023",GSW vs. NOP,W,0.519,120,0.1190492573302469,0.18625,0.2226513136319734
7,22201135,Gary Payton II,8.983333333333333,0.03743055555555555,0.0,0.0,0.0,0.0,"MAR 28, 2023",GSW vs. NOP,W,0.519,120,0.1190492573302469,0.18625,0.2226513136319734
8,22201135,Moses Moody,3.0,0.0125,2.0,0.016666666666666666,6.0,0.0016013166381246802,"MAR 28, 2023",GSW vs. NOP,W,0.519,120,0.1190492573302469,0.18625,0.2226513136319734
9,22201135,Anthony Lamb,17.466666666666665,0.07277777777777777,4.0,0.03333333333333333,69.86666666666666,0.018646442630607385,"MAR 28, 2023",GSW vs. NOP,W,0.519,120,0.1190492573302469,0.18625,0.2226513136319734
10,22201135,Patrick Baldwin Jr.,1.0166666666666666,0.004236111111111111,0.0,0.0,0.0,0.0,"MAR 28, 2023",GSW vs. NOP,W,0.519,120,0.1190492573302469,0.18625,0.2226513136319734
